agency_cd,site_no,parameter_cd,ts_id,year_nu,mean_va,,,,
USGS,15081497,60,326299,1990,387.1,,,,
USGS,15081497,60,326299,1991,475.7,,,,
USGS,15081497,60,326299,1992,506.4,,,,
USGS,15081497,60,326299,1993,325.1,,,,
USGS,15081497,60,326299,1994,443.8,,,,
USGS,15081497,60,326299,1995,283.4,,,,
USGS,15081497,60,326299,1996,299.2,,,,
USGS,15081497,60,326299,1997,311.8,,,,
USGS,15081497,60,326299,1998,319.6,,,,
USGS,15081497,60,326299,1999,360.1,,,,
USGS,15081497,60,326299,2000,440.9,,,,
USGS,15081497,60,326299,2001,365.5,,,,
USGS,15081497,60,326299,2002,311.8,,,,
USGS,15081497,60,326299,2003,330.2,,,,
USGS,15081497,60,326299,2004,358.2,,,,
USGS,15081497,60,326299,2005,375.5,,,,
USGS,15081497,60,326299,2006,364.4,,,,
USGS,15081497,60,326299,2007,467.2,,,,
USGS,15081497,60,326299,2008,383.1,,,,
USGS,15081497,60,326299,2009,441.2,,,,
USGS,15081497,60,326299,2010,304.7,,,,
USGS,15081497,60,326299,2011,441.9,,,,
USGS,15081497,60,326299,2012,429.6,,,,
USGS,15081497,60,326299,2013,305.8,,,,
USGS,15081497,60,326299,2014,440,,,,
USGS,15081497,60,326299,2015,402.9,,,,
USGS,15081497,60,326299,2016,337.8,,,,
USGS,15081497,60,326299,2017,333.7,,,,
USGS,15081497,60,326299,2018,188.8,,,,
USGS,15081497,60,326299,2019,275.6,,,,
USGS,15081497,60,326299,2020,391.7,,,,
USGS,15081497,60,326299,2021,438.5,,,,
USGS,15081497,60,326299,2022,325.9,,,,
USGS,15081497,60,326299,2024,327.1,,,,
,,,,,,,,,
